Topic,Count,theme1,theme2,Name,Representation,,,,,,,,,,,,,,,,,,,,,
0,2268,Values,Individualism,0_Dink_vasectomy_want_choice,"['DINK', 'vasectomy', 'want', 'choose', 'accept', 'DINK family', 'regret', 'regret', 'man', 'child']",,,,,,,,,,,,,,,,,,,,,
1,1969,Values,Conflict,1_parents_my mom_mom_sent to,"['Parents', 'My Mom', 'Mom', 'Send to', 'Push to', 'Mom and Dad', 'Mother', 'Share', 'Communicate', 'Dad']",,,,,,,,,,,,,,,,,,,,,
2,2010,Values,Individualism,2_giving birth to a child_getting married_child_giving birth to a child,"['Have children', 'Get married', 'Child', 'Have children', 'Don't want', 'Don't have children', 'Child', 'Don't want', 'Have children', 'Want']",,,,,,,,,,,,,,,,,,,,,
3,1508,Values,Conflict,3_urging marriage_my mother_parents_parents,"['urging marriage', 'my mom', 'parents', 'mom and dad', 'my dad', 'marriage', 'blind date', 'mom', 'home', 'go home']",,,,,,,,,,,,,,,,,,,,,
4,1544,Childrearing Cost,Expense,4_have money_make money_confidence_no money,"['rich', 'making money', 'confidence', 'poor', 'making money', 'work', 'having a baby without money', 'rich people', 'main', 'making money']",,,,,,,,,,,,,,,,,,,,,
5,1589,Values,Gender Equality,5_man_independent_woman_boy,"['man', 'independence', 'woman', 'boy', 'female', 'girl', 'male', 'girl', 'male and female', 'economy']",,,,,,,,,,,,,,,,,,,,,
6,1284,Population Structure,Old Age Care Demand,6_lonely_end of life_lonely_enjoy,"['lonely', 'end of life', 'lonely', 'enjoy', 'life', 'alone', 'cool', 'young', 'one', 'feeling']",,,,,,,,,,,,,,,,,,,,,
7,1370,Values,Individualism,7_Experts_This_is_the_only_finally,"['expert', 'only', 'finally', 'this', 'normal', 'expert', 'real', 'worthy', 'confidant']",,,,,,,,,,,,,,,,,,,,,
8,1306,Values,Individualism,8_Choice_Regret_Regret_Life,"['choice', 'regret', 'regret', 'life', 'respect', 'everyone', 'now', 'way', 'choose a city', 'way of living']",,,,,,,,,,,,,,,,,,,,,
9,1204,Values,Family Diversity,9_love_dating_breaking up_love outlook,"['love', 'dating', 'break up', 'love outlook', 'sober', 'never dated', 'feeling', 'date', 'love', 'sooner or later']",,,,,,,,,,,,,,,,,,,,,
10,889,Population Structure,Old Age Care Demand,10_sister_brother_sister_sister,"['sister', 'brother', 'sister', 'sister', 'younger sister', 'younger sister', 'home', 'older brother', 'transition', 'old lady', 'squat']",,,,,,,,,,,,,,,,,,,,,
11,1997,Childrearing Cost,Economic Uncertainty,11_children_don't_want_children,"['child', 'don't give birth', 'want', 'child', 'give birth', 'want to give birth', 'I'll give birth', 'give birth', 'don't want', 'life']",,,,,,,,,,,,,,,,,,,,,
12,1239,Childrearing Cost,Economic Uncertainty,12_Cover your face_00_Ahhh_Question,"['Cover face', '00', 'Ahhh', 'Problem', 'Lie flat', 'Bless', 'OK', 'Crack', 'Wooden fish', 'Reason']",,,,,,,,,,,,,,,,,,,,,
13,872,Values,Individualism,13_laugh_smile_children_no birth,"['laugh', 'smile', 'child', 'no child', 'funny', 'smirk', 'first', 'smirk', 'inheritance', 'child']",,,,,,,,,,,,,,,,,,,,,
14,894,Values,Individualism,14_thought_state_this_thinking,"['thought', 'state', 'this', 'thinking', 'currently', 'sympathy', 'indifferent', 'allow', 'yawn', 'now']",,,,,,,,,,,,,,,,,,,,,
15,720,Utility,Reproduction,15_Second child_Give birth to second child_Third child_First child,"['Second child', 'Giving birth to a second child', 'Third child', 'First child', 'Don't dare', 'Pressure', 'First child', 'Courage', 'Surroundings', 'Policy']",,,,,,,,,,,,,,,,,,,,,
16,1002,Childrearing Cost,Expense,16_poor_rich_rich_rich,"['Poor', 'Rich', 'Rich', 'Rich', 'Poor', 'More children', 'Cost', 'Poorer', 'Hate', 'Poverty']",,,,,,,,,,,,,,,,,,,,,
17,1038,Values,Family Diversity,17 People who don't want to get married meet,"['don't want', 'get married', 'people who want to get married', 'meet', 'can't meet', 'suitable', 'don't get married', 'thought', 'thought', 'cry uncontrollably']",,,,,,,,,,,,,,,,,,,,,
18,623,Utility,Intergenerational Support,18_nursing home_nursing home_bullying_elderly,"['nursing home', 'home for the aged', 'bullying', 'elderly', 'children', 'elderly care', 'care worker', 'sons and daughters', 'having children', 'welfare home']",,,,,,,,,,,,,,,,,,,,,
19,651,Values,Family Diversity,19_Cat_Pet_Cat_Fat Cat,"['Raise a cat', 'Pet', 'Cat', 'Fat cat', 'Dog', 'Raise a dog', 'One', 'Puppy', 'Raise one', 'Raise only']",,,,,,,,,,,,,,,,,,,,,
20,696,Population Structure,Low Ferility,20_extinction_human_earth_animal,"['extinction', 'human', 'earth', 'animal', 'thousand years', 'reproduction', 'dinosaur', 'reproduction', 'world', 'species']",,,,,,,,,,,,,,,,,,,,,
21,723,Values,Family Diversity,21_grandfather_old man_last_uncle,"['Grandpa', 'old man', 'last', 'uncle', 'old lady', 'aunt', 'old grandpa', 'hahaha', 'the truth', 'old man']",,,,,,,,,,,,,,,,,,,,,
22,635,Values,Individualism,22_reason_truth_very_reasonable,"['reason', 'truth', 'very', 'reasonable', 'a little bit', 'applause', 'feel very', 'logical', 'agree', 'every sentence']",,,,,,,,,,,,,,,,,,,,,
23,565,Population Structure,Old Age Care Demand,23_85_live_to_old_age,"['85', 'live to', 'can live', 'old age', 'I live', 'not', 'live to old age', 'I can', 'can't', '60']",,,,,,,,,,,,,,,,,,,,,
24,564,Values,Individualism,24_several years_decades_cool_suffer,"['a few years', 'decades', 'free and easy', 'suffer a little', 'enjoy', 'youth', 'a lifetime', 'old age', 'many years', 'happy']",,,,,,,,,,,,,,,,,,,,,
25,580,Values,Individualism,25_applause_rose_cheer_voice,"['Applause', 'Rose', 'Come on', 'Speak up', 'Like', 'Support', 'Daze', 'High five', 'I want', 'Love']",,,,,,,,,,,,,,,,,,,,,
26,518,Values,Individualism,26_Single_Alone_Forever_Not Sweet,"['single', 'alone', 'for a lifetime', 'not fragrant', 'long live', 'mother', 'get out of single', 'always', 'happy', 'rose']",,,,,,,,,,,,,,,,,,,,,
27,640,Utility,Emotional Support,27_lonely_alone_have children_married,"['lonely', 'alone', 'having children', 'getting married', 'old partner', 'living till old age', 'getting married', 'old age', 'children', 'around']",,,,,,,,,,,,,,,,,,,,,
28,568,Childrearing Cost,Expense,28_Korean girl_Korea_too_seaside,"['Korean girl', 'South Korea', 'too right', 'seaside', 'mouth replacement', 'well said', 'stand up', 'yes', 'real', 'baby']",,,,,,,,,,,,,,,,,,,,,
29,549,Values,Individualism,29_60_age_fifty_30,"['60', 'age', 'fifty', '30', 'mature', '20', 'age', '40', 'fifty years old', 'young']",,,,,,,,,,,,,,,,,,,,,
30,532,Childrearing Cost,Expense,30_House price_house_too_low_mortgage,"['House price', 'House', 'Too low', 'Mortgage', 'Buy a house', 'Struggle', 'Unfavorable', 'Cheap', 'Car loan', 'Young people']",,,,,,,,,,,,,,,,,,,,,
31,422,Values,Family Diversity,31_hahaha_cough cough_ahaha_hum,"['hahaha', 'cough cough', 'aha', 'hum hum', 'hehehe', 'ha hey', 'confused', 'it', 'what the hell', 'clear']",,,,,,,,,,,,,,,,,,,,,
32,769,Childrearing Cost,Economic Uncertainty,32_alive_life_continuation_cannot afford to live,"['alive', 'life', 'continuation', 'can't afford to live', 'I live', 'can't reach', 'euthanasia', 'can't live', '2100', 'can't die']",,,,,,,,,,,,,,,,,,,,,
33,510,Childrearing Cost,Public Support,33_kindergarten_school_milk powder_tuition,"['kindergarten', 'school', 'milk powder', 'tuition', 'can't afford', 'semester', 'primary school', 'cost', 'tutoring class', 'school district']",,,,,,,,,,,,,,,,,,,,,
34,548,Values,Family Diversity,34_no ties_whether to tie_tied_want to tie,"['Don't get married', 'Will you get married', 'Get married', 'Adam's apple', 'Don't get married', 'Get married', 'Get sterilized', 'Lovers', 'Can't afford to get married']",,,,,,,,,,,,,,,,,,,,,
35,702,,,35_laugh_snicker_smile_smirk,"['laugh', 'snicker', 'smile', 'sly smile', 'awake', 'silly smile', 'problem', 'girlfriend', 'only want', 'seek guilt']",,,,,,,,,,,,,,,,,,,,,
36,868,Population Structure,Old Age Care Demand,36_Retirement care_Elderly people_Prevention of old age_Raising children to prevent old age,"['elderly care', 'elderly', 'prevent old age', 'raise children to prevent old age', 'children', 'care', 'children', 'grandchildren', 'filial piety', 'raise children']",,,,,,,,,,,,,,,,,,,,,
37,426,Values,Family Diversity,37_Infertility_Unmarried_Infertility_Safety,"['infertility', 'unmarried', 'infertility', 'safeguarding safety', 'ism', 'childlessness', 'choice', 'pig head', 'having children', 'ism']",,,,,,,,,,,,,,,,,,,,,
38,501,,,38_Lovers_Laughing_Marriage_Smirking,"['lover', 'laugh', 'marry', 'smirk', 'fall in love', 'smirk', 'love', 'funny', 'silly smile', 'smile']",,,,,,,,,,,,,,,,,,,,,
