Topic,Count,Name,theme1,theme2,Representation,Representative_Docs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,4401,0_tax increase_tax_salary_consumption,Childrearing Cost,Economic Uncertainty,"['tax increase', 'tax', 'salary', 'consumption', 'money', 'citizens', 'legislators', 'slush funds', 'politics', 'source of funds']","['Tax increase', 'Tax increase', 'Tax increase tax increase']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3196,1_triplets_sisters_years apart_difficult,Utility,Reproduction,"['triplets', 'sisters', 'close together', 'difficult', 'triplets', 'full-time', 'boys', 'university', 'months', 'but']","['Congratulations, you have three adorable kids. Three kids a year apart is hard work, so please support me', 'I have three boys, but if they help me pay for their education, I want to have a fourth or fifth child. I want to go to college, but I can't afford to have more kids than I think', 'It must be hard now, but I'm looking forward to seeing the triplets when they're adults in the future, so please do your best']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2679,2_Eat_delicious_food_,Childrearing Cost,Domestic Labor,"['eat', 'delicious', 'rice', 'cooking', 'bento', 'delicious', 'eat', 'sweets', 'make', 'delicious']","['The food looks delicious', 'The food looks delicious', 'I want to try Lee-san's cooking']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2503,3_Mom_Mum_Mom_Dad,Values,Gender Equality,"['mom', 'mama', 'mother', 'dad', 'nice', 'father', 'young', 'good luck', 'mother', 'mom']","['You're a good mom', 'You're just like a mom', 'You're a mom']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1945,4. It's really small.,,,"['Wow', 'Oh', 'Little', 'Definitely', 'Men', 'I like it', 'Yeah', 'Awesome', 'Ahh', 'Ahh']","['Seriously late', 'Ahh, I'm so happy', 'That's so cute']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1496,5_cute_cute_cute_cute,Utility, Emotional Support,"['cute', 'adorable', 'adorable', 'cute', 'too cute', 'cool', 'too', 'really', 'insanely']","['Cute', 'It's cute', 'Cute']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1213,6_Japan_Japanese_Foreign_Overseas,Population Structure,State Intervention,"['Japan', 'Japanese', 'Foreign', 'Overseas', 'Politics', 'Japanese language', 'Immigration', 'America', 'Government', 'Immigration']","['Japan enemy', 'Japan', 'Japan now']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1170,7. Japan's Population: Japanese People's Declining Birthrate,Population Structure,Low Fertility,"['Japan', 'Population', 'Japanese', 'Declining birthrate', 'Decrease', 'Foreign countries', 'Decline', 'Economy', 'Decrease', 'Future']","['Raising children in Japan now', 'Taxes are twice as high as in Japan', 'Marriage in Japan lol']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1790,"8. Money, poverty, children, costs",Childrearing Cost,Expense,"['money', 'poor', 'child', 'cost', 'affordable', 'luxury', 'not having', 'raising', 'giving birth', 'money']","['I want to have children, but when I think about money in the future, I think it's for my children's sake. I don't want to have parents with no economic power.', 'It costs money to raise a child.', 'I was poor when I was a child, I want to have children, I want to think like that, but I can't have children the way things are now.']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,945,9_difficult_months_sisters_brothers,Utility,Reproduction,"['tough', 'months', 'sister', 'brother', 'twins', 'raising', 'giving birth', 'unmarried', 'childcare', 'pregnancy']","['I gave birth to 4 sisters, 3 sisters, all girls', 'Natural pregnancy, fraternal twins, now 4 months pregnant, please come and give birth', 'Natural pregnancy, fraternal twins, now 4 months pregnant, please come and give birth']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
